LEVEL,CODE,NATIONAL_TITLE_BE_NL,NATIONAL_TITLE_BE_FR,NATIONAL_TITLE_BE_DE,NATIONAL_TITLE_BE_EN
5,20.140,Vervaardiging van andere organische chemische basisproducten,Fabrication d’autres produits chimiques organiques de base,Herstellung von sonstigen organischen Grundstoffen und Chemikalien,Manufacture of other organic basic chemicals
4,20.15,Vervaardiging van kunstmeststoffen en stikstofverbindingen,Fabrication de produits azotés et d’engrais,Herstellung von Düngemitteln und Stickstoffverbindungen,Manufacture of fertilisers and nitrogen compounds
5,20.150,Vervaardiging van kunstmeststoffen en stikstofverbindingen,Fabrication de produits azotés et d’engrais,Herstellung von Düngemitteln und Stickstoffverbindungen,Manufacture of fertilisers and nitrogen compounds
4,20.16,Vervaardiging van kunststoffen in primaire vormen,Fabrication de matières plastiques de base,Herstellung von Kunststoffen in Primärformen,Manufacture of plastics in primary forms
5,20.160,Vervaardiging van kunststoffen in primaire vormen,Fabrication de matières plastiques de base,Herstellung von Kunststoffen in Primärformen,Manufacture of plastics in primary forms
4,20.17,Vervaardiging van synthetische rubber in primaire vormen,Fabrication de caoutchouc synthétique,Herstellung von synthetischem Kautschuk in Primärformen,Manufacture of synthetic rubber in primary forms
5,20.170,Vervaardiging van synthetische rubber in primaire vormen,Fabrication de caoutchouc synthétique,Herstellung von synthetischem Kautschuk in Primärformen,Manufacture of synthetic rubber in primary forms
3,20.2,"Vervaardiging van verdelgingsmiddelen, ontsmettingsmiddelen en andere chemische producten voor de landbouw","Fabrication de pesticides, de désinfectants et d’autres produits agrochimiques","Herstellung von Schädlingsbekämpfungs-, Pflanzenschutz- und Desinfektionsmitteln","Manufacture of pesticides, disinfectants and other agrochemical products"
4,20.20,"Vervaardiging van verdelgingsmiddelen, ontsmettingsmiddelen en andere chemische producten voor de landbouw","Fabrication de pesticides, de désinfectants et d’autres produits agrochimiques","Herstellung von Schädlingsbekämpfungs-, Pflanzenschutz- und Desinfektionsmitteln","Manufacture of pesticides, disinfectants and other agrochemical products"
5,20.200,"Vervaardiging van verdelgingsmiddelen, ontsmettingsmiddelen en andere chemische producten voor de landbouw","Fabrication de pesticides, de désinfectants et d’autres produits agrochimiques","Herstellung von Schädlingsbekämpfungs-, Pflanzenschutz- und Desinfektionsmitteln","Manufacture of pesticides, disinfectants and other agrochemical products"
3,20.3,"Vervaardiging van verf, vernis e.d., drukinkt en mastiek","Fabrication de peintures, vernis, encres et mastics","Herstellung von Anstrichmitteln, Druckfarben und Kitten","Manufacture of paints, varnishes and similar coatings, printing ink and mastics"
4,20.30,"Vervaardiging van verf, vernis e.d., drukinkt en mastiek","Fabrication de peintures, vernis, encres et mastics","Herstellung von Anstrichmitteln, Druckfarben und Kitten","Manufacture of paints, varnishes and similar coatings, printing ink and mastics"
5,20.300,"Vervaardiging van verf, vernis e.d., drukinkt en mastiek","Fabrication de peintures, vernis, encres et mastics","Herstellung von Anstrichmitteln, Druckfarben und Kitten","Manufacture of paints, varnishes and similar coatings, printing ink and mastics"
3,20.4,"Vervaardiging van was-, poets- en reinigingsmiddelen",Fabrication de savons et de produits d’entretien,"Herstellung von Wasch-, Reinigungs- und Poliermitteln","Manufacture of washing, cleaning and polishing preparations"
4,20.41,"Vervaardiging van zeep en wasmiddelen, poets- en reinigingsmiddelen","Fabrication de savons, détergents et produits d’entretien","Herstellung von Seifen, Wasch-, Reinigungs- und Poliermitteln","Manufacture of soap and detergents, cleaning and polishing preparations"
5,20.411,Vervaardiging van zeep en wasmiddelen,Fabrication de savons et de détergents,Herstellung von Seifen und Waschmitteln,Manufacture of soap and detergents
5,20.412,Vervaardiging van poets- en reinigingsmiddelen,Fabrication de  produits d'entretien et de nettoyage,Herstellung von Reinigungs- und Poliermitteln,Manufacture of cleaning and polishing preparations
4,20.42,Vervaardiging van parfums en toiletartikelen,Fabrication de parfums et de produits pour la toilette,Herstellung von Körperpflegemitteln und Duftstoffen,Manufacture of perfume and toilet preparations
5,20.420,Vervaardiging van parfums en toiletartikelen,Fabrication de parfums et de produits pour la toilette,Herstellung von Körperpflegemitteln und Duftstoffen,Manufacture of perfume and toilet preparations
3,20.5,Vervaardiging van andere chemische producten,Fabrication d’autres produits chimiques,Herstellung von sonstigen chemischen Erzeugnissen,Manufacture of other chemical products
4,20.51,Vervaardiging van vloeibare biobrandstoffen,Fabrication de biocarburants liquides,Herstellung von flüssigen Biokraftstoffen,Manufacture of liquid biofuels
5,20.510,Vervaardiging van vloeibare biobrandstoffen,Fabrication de biocarburants liquides,Herstellung von flüssigen Biokraftstoffen,Manufacture of liquid biofuels
4,20.59,"Vervaardiging van andere chemische producten, n.e.g.",Fabrication d’autres produits chimiques n.c.a.,Herstellung von sonstigen chemischen Erzeugnissen a. n. g.,Manufacture of other chemical products n.e.c.
5,20.590,"Vervaardiging van andere chemische producten, n.e.g.",Fabrication d’autres produits chimiques n.c.a.,Herstellung von sonstigen chemischen Erzeugnissen a. n. g.,Manufacture of other chemical products n.e.c.
3,20.6,Vervaardiging van synthetische en kunstmatige vezels,Fabrication de fibres artificielles ou synthétiques,Herstellung von Chemiefasern,Manufacture of man-made fibres
4,20.60,Vervaardiging van synthetische en kunstmatige vezels,Fabrication de fibres artificielles ou synthétiques,Herstellung von Chemiefasern,Manufacture of man-made fibres
5,20.600,Vervaardiging van synthetische en kunstmatige vezels,Fabrication de fibres artificielles ou synthétiques,Herstellung von Chemiefasern,Manufacture of man-made fibres
2,21,Vervaardiging van farmaceutische grondstoffen en producten,Industrie pharmaceutique,Herstellung von pharmazeutischen Erzeugnissen,Manufacture of basic pharmaceutical products and pharmaceutical preparations
3,21.1,Vervaardiging van farmaceutische grondstoffen,Fabrication de produits pharmaceutiques de base,Herstellung von pharmazeutischen Grundstoffen,Manufacture of basic pharmaceutical products
4,21.10,Vervaardiging van farmaceutische grondstoffen,Fabrication de produits pharmaceutiques de base,Herstellung von pharmazeutischen Grundstoffen,Manufacture of basic pharmaceutical products
5,21.100,Vervaardiging van farmaceutische grondstoffen,Fabrication de produits pharmaceutiques de base,Herstellung von pharmazeutischen Grundstoffen,Manufacture of basic pharmaceutical products
3,21.2,Vervaardiging van farmaceutische producten,Fabrication de préparations pharmaceutiques,Herstellung von pharmazeutischen Spezialitäten und sonstigen pharmazeutischen Erzeugnissen,Manufacture of pharmaceutical preparations
4,21.20,Vervaardiging van farmaceutische producten,Fabrication de préparations pharmaceutiques,Herstellung von pharmazeutischen Spezialitäten und sonstigen pharmazeutischen Erzeugnissen,Manufacture of pharmaceutical preparations
5,21.201,Vervaardiging van geneesmiddelen,Fabrication de médicaments,Herstellung von Arzneimitteln,Manufacture of medicaments
5,21.209,Vervaardiging van overige farmaceutische producten,Fabrication d'autres produits pharmaceutiques,Herstellung von sonstigen pharmazeutischen Erzeugnissen,Manufacture of other pharmaceutical products
2,22,Vervaardiging van producten van rubber of kunststof,Fabrication de produits en caoutchouc et en plastique,Herstellung von Gummi- und Kunststoffwaren,Manufacture of rubber and plastic products
3,22.1,Vervaardiging van producten van rubber,Fabrication de produits en caoutchouc,Herstellung von Gummiwaren,Manufacture of rubber products
4,22.11,Vervaardiging en loopvlakvernieuwing van rubberbanden en vervaardiging van binnenbanden,Fabrication et rechapage de pneus en caoutchouc et fabrication de chambres à air,Herstellung und Runderneuerung von Bereifungen,"Manufacture, retreading and rebuilding of rubber tyres and manufacture of tubes"
5,22.110,Vervaardiging en loopvlakvernieuwing van rubberbanden en vervaardiging van binnenbanden,Fabrication et rechapage de pneus en caoutchouc et fabrication de chambres à air,Herstellung und Runderneuerung von Bereifungen,"Manufacture, retreading and rebuilding of rubber tyres and manufacture of tubes"
4,22.12,Vervaardiging van andere producten van rubber,Fabrication d’autres articles en caoutchouc,Herstellung von sonstigen Gummiwaren,Manufacture of other rubber products
5,22.120,Vervaardiging van andere producten van rubber,Fabrication d’autres articles en caoutchouc,Herstellung von sonstigen Gummiwaren,Manufacture of other rubber products
3,22.2,Vervaardiging van producten van kunststof,Fabrication de produits en plastique,Herstellung von Kunststoffwaren,Manufacture of plastic products
4,22.21,"Vervaardiging van platen, vellen, buizen en profielen van kunststof","Fabrication de plaques, feuilles, tubes et profilés en matières plastiques","Herstellung von Platten, Folien, Schläuchen und Profilen aus Kunststoffen","Manufacture of plastic plates, sheets, tubes and profiles"
5,22.210,"Vervaardiging van platen, vellen, buizen en profielen van kunststof","Fabrication de plaques, feuilles, tubes et profilés en matières plastiques","Herstellung von Platten, Folien, Schläuchen und Profilen aus Kunststoffen","Manufacture of plastic plates, sheets, tubes and profiles"
4,22.22,Vervaardiging van verpakkingsmateriaal van kunststof,Fabrication d’emballages en matières plastiques,Herstellung von Verpackungsmitteln aus Kunststoffen,Manufacture of plastic packing goods
5,22.220,Vervaardiging van verpakkingsmateriaal van kunststof,Fabrication d’emballages en matières plastiques,Herstellung von Verpackungsmitteln aus Kunststoffen,Manufacture of plastic packing goods
4,22.23,Vervaardiging van deuren en vensters van kunststof,Fabrication de portes et fenêtres en matières plastiques,Herstellung von Türen und Fenstern aus Kunststoffen,Manufacture of doors and windows of plastic
5,22.230,Vervaardiging van deuren en vensters van kunststof,Fabrication de portes et fenêtres en matières plastiques,Herstellung von Türen und Fenstern aus Kunststoffen,Manufacture of doors and windows of plastic
4,22.24,Vervaardiging van kunststofartikelen voor de bouw,Fabrication d’éléments en matières plastiques pour la construction,Herstellung von Baubedarfsartikeln aus Kunststoffen,Manufacture of builders’ ware of plastic
5,22.240,Vervaardiging van kunststofartikelen voor de bouw,Fabrication d’éléments en matières plastiques pour la construction,Herstellung von Baubedarfsartikeln aus Kunststoffen,Manufacture of builders’ ware of plastic
4,22.25,Verwerking en afwerking van kunststofproducten,Façonnage et finition de produits en matières plastiques,Bearbeitung und Veredlung von Kunststoffwaren,Processing and finishing of plastic products
5,22.250,Verwerking en afwerking van kunststofproducten,Façonnage et finition de produits en matières plastiques,Bearbeitung und Veredlung von Kunststoffwaren,Processing and finishing of plastic products
4,22.26,Vervaardiging van andere producten van kunststof,Fabrication d’autres articles en matières plastiques,Herstellung von sonstigen Kunststoffwaren,Manufacture of other plastic products
5,22.260,Vervaardiging van andere producten van kunststof,Fabrication d’autres articles en matières plastiques,Herstellung von sonstigen Kunststoffwaren,Manufacture of other plastic products
2,23,Vervaardiging van andere niet-metaalhoudende minerale producten,Fabrication d’autres produits minéraux non métalliques,"Herstellung von Glas und Glaswaren, Keramik, Verarbeitung von Steinen und Erden",Manufacture of other non-metallic mineral products
3,23.1,Vervaardiging van glas en glaswerk,Fabrication de verre et d’articles en verre,Herstellung von Glas und Glaswaren,Manufacture of glass and glass products
4,23.11,Vervaardiging van vlakglas,Fabrication de verre plat,Herstellung von Flachglas,Manufacture of flat glass
5,23.110,Vervaardiging van vlakglas,Fabrication de verre plat,Herstellung von Flachglas,Manufacture of flat glass
4,23.12,Vormen en bewerken van vlakglas,Façonnage et transformation du verre plat,Veredlung und Bearbeitung von Flachglas,Shaping and processing of flat glass
5,23.120,Vormen en bewerken van vlakglas,Façonnage et transformation du verre plat,Veredlung und Bearbeitung von Flachglas,Shaping and processing of flat glass
4,23.13,Vervaardiging van holglas,Fabrication de verre creux,Herstellung von Hohlglas,Manufacture of hollow glass
5,23.130,Vervaardiging van holglas,Fabrication de verre creux,Herstellung von Hohlglas,Manufacture of hollow glass
4,23.14,Vervaardiging van glasvezels,Fabrication de fibres de verre,Herstellung von Glasfasern und Waren daraus,Manufacture of glass fibres
5,23.140,Vervaardiging van glasvezels,Fabrication de fibres de verre,Herstellung von Glasfasern und Waren daraus,Manufacture of glass fibres
4,23.15,"Vervaardiging en bewerking van overig glas, inclusief technisch glaswerk","Fabrication et façonnage d’autres articles en verre, y compris verre technique","Herstellung, Veredlung und Bearbeitung von sonstigem Glas einschließlich technischen Glaswaren","Manufacture and processing of other glass, including technical glassware"
5,23.150,"Vervaardiging en bewerking van overig glas, inclusief technisch glaswerk","Fabrication et façonnage d’autres articles en verre, y compris verre technique","Herstellung, Veredlung und Bearbeitung von sonstigem Glas einschließlich technischen Glaswaren","Manufacture and processing of other glass, including technical glassware"
3,23.2,Vervaardiging van vuurvaste producten,Fabrication de produits réfractaires,Herstellung von feuerfesten keramischen Werkstoffen und Waren,Manufacture of refractory products
4,23.20,Vervaardiging van vuurvaste producten,Fabrication de produits réfractaires,Herstellung von feuerfesten keramischen Werkstoffen und Waren,Manufacture of refractory products
5,23.200,Vervaardiging van vuurvaste producten,Fabrication de produits réfractaires,Herstellung von feuerfesten keramischen Werkstoffen und Waren,Manufacture of refractory products
3,23.3,"Vervaardiging van producten voor de bouw, van klei",Fabrication de matériaux de construction en terre cuite,Herstellung von keramischen Baumaterialien,Manufacture of clay building materials
4,23.31,Vervaardiging van keramische tegels en plavuizen,Fabrication de carreaux en céramique,Herstellung von keramischen Wand- und Bodenfliesen und -platten,Manufacture of ceramic tiles and flags
5,23.310,Vervaardiging van keramische tegels en plavuizen,Fabrication de carreaux en céramique,Herstellung von keramischen Wand- und Bodenfliesen und -platten,Manufacture of ceramic tiles and flags
4,23.32,"Vervaardiging van bakstenen, tegels en producten voor de bouw, van gebakken klei","Fabrication de briques, tuiles et produits de construction, en terre cuite",Herstellung von Ziegeln und sonstiger Baukeramik,"Manufacture of bricks, tiles and construction products, in baked clay"
5,23.321,Vervaardiging van bakstenen,Fabrication de briques,Herstellung von Mauerziegeln,Manufacture of bricks
5,23.322,"Vervaardiging dakpannen, tegels en andere producten voor de bouw, van gebakken klei","Fabrication de tuiles, de carrelages et de produits de construction en terre cuite","Herstellung von Dachziegeln, Ziegeln und anderen Baustoffen aus Ziegelerde","Manufacture of tiles and construction products, in baked clay"
3,23.4,Vervaardiging van andere keramische producten,Fabrication d’autres produits en céramique et en porcelaine,Herstellung von sonstigen keramischen Erzeugnissen,Manufacture of other porcelain and ceramic products
4,23.41,Vervaardiging van huishoudelijk en sieraardewerk,Fabrication d’articles céramiques à usage domestique ou ornemental,Herstellung von keramischen Haushaltswaren und Ziergegenständen,Manufacture of ceramic household and ornamental articles
5,23.410,Vervaardiging van huishoudelijk en sieraardewerk,Fabrication d’articles céramiques à usage domestique ou ornemental,Herstellung von keramischen Haushaltswaren und Ziergegenständen,Manufacture of ceramic household and ornamental articles
4,23.42,Vervaardiging van sanitair aardewerk,Fabrication d’appareils sanitaires en céramique,Herstellung von Sanitärkeramik,Manufacture of ceramic sanitary fixtures
5,23.420,Vervaardiging van sanitair aardewerk,Fabrication d’appareils sanitaires en céramique,Herstellung von Sanitärkeramik,Manufacture of ceramic sanitary fixtures
4,23.43,"Vervaardiging van isolatoren en isolatiemateriaal, van keramische stoffen",Fabrication d’isolateurs et pièces isolantes en céramique,Herstellung von Isolatoren und Isolierteilen aus Keramik,Manufacture of ceramic insulators and insulating fittings
5,23.430,"Vervaardiging van isolatoren en isolatiemateriaal, van keramische stoffen",Fabrication d’isolateurs et pièces isolantes en céramique,Herstellung von Isolatoren und Isolierteilen aus Keramik,Manufacture of ceramic insulators and insulating fittings
4,23.44,Vervaardiging van ander technisch aardewerk,Fabrication d’autres produits céramiques à usage technique,Herstellung von keramischen Erzeugnissen für sonstige technische Zwecke,Manufacture of other technical ceramic products
5,23.440,Vervaardiging van ander technisch aardewerk,Fabrication d’autres produits céramiques à usage technique,Herstellung von keramischen Erzeugnissen für sonstige technische Zwecke,Manufacture of other technical ceramic products
4,23.45,Vervaardiging van andere keramische producten,Fabrication d’autres produits céramiques,Herstellung von sonstigen keramischen Erzeugnissen,Manufacture of other ceramic products
5,23.450,Vervaardiging van andere keramische producten,Fabrication d’autres produits céramiques,Herstellung von sonstigen keramischen Erzeugnissen,Manufacture of other ceramic products
3,23.5,"Vervaardiging van cement, kalk en gips","Fabrication de ciment, chaux et plâtre","Herstellung von Zement, Kalk und gebranntem Gips","Manufacture of cement, lime and plaster"
4,23.51,Vervaardiging van cement,Fabrication de ciment,Herstellung von Zement,Manufacture of cement
5,23.510,Vervaardiging van cement,Fabrication de ciment,Herstellung von Zement,Manufacture of cement
4,23.52,Vervaardiging van kalk en gips,Fabrication de chaux et plâtre,Herstellung von Kalk und gebranntem Gips,Manufacture of lime and plaster
5,23.520,Vervaardiging van kalk en gips,Fabrication de chaux et plâtre,Herstellung von Kalk und gebranntem Gips,Manufacture of lime and plaster
3,23.6,"Vervaardiging van artikelen van beton, cement en gips","Fabrication d’ouvrages en béton, en ciment ou en plâtre","Herstellung von Erzeugnissen aus Beton, Zement und Gips","Manufacture of articles of concrete, cement and plaster"
4,23.61,Vervaardiging van artikelen van beton voor de bouw,Fabrication d’éléments en béton pour la construction,"Herstellung von Erzeugnissen aus Beton, Zement und Kalksandstein für den Bau",Manufacture of concrete products for construction purposes
5,23.610,Vervaardiging van artikelen van beton voor de bouw,Fabrication d’éléments en béton pour la construction,"Herstellung von Erzeugnissen aus Beton, Zement und Kalksandstein für den Bau",Manufacture of concrete products for construction purposes
4,23.62,Vervaardiging van artikelen van gips voor de bouw,Fabrication d’éléments en plâtre pour la construction,Herstellung von Gipserzeugnissen für den Bau,Manufacture of plaster products for construction purposes
5,23.620,Vervaardiging van artikelen van gips voor de bouw,Fabrication d’éléments en plâtre pour la construction,Herstellung von Gipserzeugnissen für den Bau,Manufacture of plaster products for construction purposes
4,23.63,Vervaardiging van stortklare beton,Fabrication de béton prêt à l’emploi,"Herstellung von Frischbeton, Transportbeton",Manufacture of ready-mixed concrete
5,23.630,Vervaardiging van stortklare beton,Fabrication de béton prêt à l’emploi,"Herstellung von Frischbeton, Transportbeton",Manufacture of ready-mixed concrete
4,23.64,Vervaardiging van mortel,Fabrication de mortiers,"Herstellung von Mörtel und sonstigem Beton, ohne Frischbeton",Manufacture of mortars
5,23.640,Vervaardiging van mortel,Fabrication de mortiers,"Herstellung von Mörtel und sonstigem Beton, ohne Frischbeton",Manufacture of mortars
4,23.65,Vervaardiging van producten van vezelcement,Fabrication d’ouvrages en fibre-ciment,Herstellung von Faserzementwaren,Manufacture of fibre cement
5,23.650,Vervaardiging van producten van vezelcement,Fabrication d’ouvrages en fibre-ciment,Herstellung von Faserzementwaren,Manufacture of fibre cement
4,23.66,"Vervaardiging van andere artikelen van beton, cement en gips","Fabrication d’autres ouvrages en béton, en ciment ou en plâtre","Herstellung von sonstigen Erzeugnissen aus Beton, Zement und Gips","Manufacture of other articles of concrete, cement and plaster"
5,23.660,"Vervaardiging van andere artikelen van beton, cement en gips","Fabrication d’autres ouvrages en béton, en ciment ou en plâtre","Herstellung von sonstigen Erzeugnissen aus Beton, Zement und Gips","Manufacture of other articles of concrete, cement and plaster"
3,23.7,"Houwen, bewerken en afwerken van natuursteen","Taille, façonnage et finissage de pierres",Be- und Verarbeitung von Naturwerksteinen und Natursteinen,"Cutting, shaping and finishing of stone"
4,23.70,"Houwen, bewerken en afwerken van natuursteen","Taille, façonnage et finissage de pierres",Be- und Verarbeitung von Naturwerksteinen und Natursteinen,"Cutting, shaping and finishing of stone"
5,23.700,"Houwen, bewerken en afwerken van natuursteen","Taille, façonnage et finissage de pierres",Be- und Verarbeitung von Naturwerksteinen und Natursteinen,"Cutting, shaping and finishing of stone"
3,23.9,Vervaardiging van andere schuurmiddelen en niet-metaalhoudende minerale producten n.e.g.,Fabrication de produits abrasifs et de produits minéraux non métalliques n.c.a.,Herstellung von Schleifkörpern und Schleifmitteln auf Unterlage sowie sonstigen Erzeugnissen aus nichtmetallischen Mineralien a. n. g.,Manufacture of abrasive products and non-metallic mineral products n.e.c.
4,23.91,Vervaardiging van schuurmiddelen,Fabrication de produits abrasifs,Herstellung von Schleifkörpern und Schleifmitteln auf Unterlage,Manufacture of abrasive products
5,23.910,Vervaardiging van schuurmiddelen,Fabrication de produits abrasifs,Herstellung von Schleifkörpern und Schleifmitteln auf Unterlage,Manufacture of abrasive products
4,23.99,"Vervaardiging van andere niet-metaalhoudende minerale producten, n.e.g.",Fabrication d’autres produits minéraux non métalliques n.c.a.,Herstellung von sonstigen Erzeugnissen aus nichtmetallischen Mineralien a. n. g.,Manufacture of other non-metallic mineral products n.e.c.
5,23.990,"Vervaardiging van andere niet-metaalhoudende minerale producten, n.e.g.",Fabrication d’autres produits minéraux non métalliques n.c.a.,Herstellung von sonstigen Erzeugnissen aus nichtmetallischen Mineralien a. n. g.,Manufacture of other non-metallic mineral products n.e.c.
2,24,Vervaardiging van metalen in primaire vorm,Métallurgie,Metallerzeugung und -bearbeitung,Manufacture of basic metals
3,24.1,Vervaardiging van ijzer en staal en van ferrolegeringen,Sidérurgie,"Erzeugung von Roheisen, Stahl und Ferrolegierungen",Manufacture of basic iron and steel and of ferro-alloys
4,24.10,Vervaardiging van ijzer en staal en van ferrolegeringen,Sidérurgie,"Erzeugung von Roheisen, Stahl und Ferrolegierungen",Manufacture of basic iron and steel and of ferro-alloys
5,24.100,Vervaardiging van ijzer en staal en van ferrolegeringen,Sidérurgie,"Erzeugung von Roheisen, Stahl und Ferrolegierungen",Manufacture of basic iron and steel and of ferro-alloys
3,24.2,"Vervaardiging van buizen, pijpen, holle profielen en fittings daarvoor, van staal","Fabrication de tubes, tuyaux, profilés creux et accessoires correspondants en acier","Herstellung von Stahlrohren, Rohrform-, Rohrverschluss- und Rohrverbindungsstücken aus Stahl","Manufacture of tubes, pipes, hollow profiles and related fittings, of steel"
4,24.20,"Vervaardiging van buizen, pijpen, holle profielen en fittings daarvoor, van staal","Fabrication de tubes, tuyaux, profilés creux et accessoires correspondants en acier","Herstellung von Stahlrohren, Rohrform-, Rohrverschluss- und Rohrverbindungsstücken aus Stahl","Manufacture of tubes, pipes, hollow profiles and related fittings, of steel"
5,24.200,"Vervaardiging van buizen, pijpen, holle profielen en fittings daarvoor, van staal","Fabrication de tubes, tuyaux, profilés creux et accessoires correspondants en acier","Herstellung von Stahlrohren, Rohrform-, Rohrverschluss- und Rohrverbindungsstücken aus Stahl","Manufacture of tubes, pipes, hollow profiles and related fittings, of steel"
3,24.3,Vervaardiging van andere producten van de eerste verwerking van staal,Fabrication d’autres produits de première transformation de l’acier,Sonstige erste Bearbeitung von Eisen und Stahl,Manufacture of other products of first processing of steel
4,24.31,Koudtrekken van staven,Étirage à froid de barres,Herstellung von Blankstahl,Cold drawing of bars
5,24.310,Koudtrekken van staven,Étirage à froid de barres,Herstellung von Blankstahl,Cold drawing of bars
4,24.32,Koudwalsen van bandstaal,Laminage à froid de feuillards,Herstellung von Kaltband mit einer Breite von weniger als 600 mm,Cold rolling of narrow strip
5,24.320,Koudwalsen van bandstaal,Laminage à froid de feuillards,Herstellung von Kaltband mit einer Breite von weniger als 600 mm,Cold rolling of narrow strip
4,24.33,Koudvervormen of koudfelsen,Profilage à froid par formage ou pliage,Herstellung von Kaltprofilen,Cold forming or folding
5,24.330,Koudvervormen of koudfelsen,Profilage à froid par formage ou pliage,Herstellung von Kaltprofilen,Cold forming or folding
4,24.34,Koudtrekken van draad,Tréfilage à froid,Herstellung von kaltgezogenem Draht,Cold drawing of wire
5,24.340,Koudtrekken van draad,Tréfilage à froid,Herstellung von kaltgezogenem Draht,Cold drawing of wire
3,24.4,Productie van edelmetalen en van andere non-ferrometalen,Production de métaux précieux et d’autres métaux non ferreux,Erzeugung und erste Bearbeitung von NE-Metallen,Manufacture of basic precious and other non-ferrous metals
4,24.41,Productie van edelmetalen,Production de métaux précieux,Erzeugung und erste Bearbeitung von Edelmetallen,Precious metals production
5,24.410,Productie van edelmetalen,Production de métaux précieux,Erzeugung und erste Bearbeitung von Edelmetallen,Precious metals production
4,24.42,Productie van aluminium,Métallurgie de l’aluminium,Erzeugung und erste Bearbeitung von Aluminium,Aluminium production
5,24.420,Productie van aluminium,Métallurgie de l’aluminium,Erzeugung und erste Bearbeitung von Aluminium,Aluminium production
4,24.43,"Productie van lood, zink en tin","Métallurgie du plomb, du zinc ou de l’étain","Erzeugung und erste Bearbeitung von Blei, Zink und Zinn","Lead, zinc and tin production"
5,24.430,"Productie van lood, zink en tin","Métallurgie du plomb, du zinc ou de l’étain","Erzeugung und erste Bearbeitung von Blei, Zink und Zinn","Lead, zinc and tin production"
4,24.44,Productie van koper,Métallurgie du cuivre,Erzeugung und erste Bearbeitung von Kupfer,Copper production
5,24.440,Productie van koper,Métallurgie du cuivre,Erzeugung und erste Bearbeitung von Kupfer,Copper production
4,24.45,Productie van andere non-ferrometalen,Métallurgie des autres métaux non ferreux,Erzeugung und erste Bearbeitung von sonstigen NE-Metallen,Other non-ferrous metal production
5,24.450,Productie van andere non-ferrometalen,Métallurgie des autres métaux non ferreux,Erzeugung und erste Bearbeitung von sonstigen NE-Metallen,Other non-ferrous metal production
4,24.46,Bewerking van splijt- en kweekstoffen,Élaboration et transformation de matières nucléaires,Aufbereitung von Kernbrennstoffen,Processing of nuclear fuel
5,24.460,Bewerking van splijt- en kweekstoffen,Élaboration et transformation de matières nucléaires,Aufbereitung von Kernbrennstoffen,Processing of nuclear fuel
3,24.5,Gieten van metalen,Fonderie,Gießereien,Casting of metals
4,24.51,Gieten van ijzer,Fonderie de fonte,Eisengießereien,Casting of iron
5,24.510,Gieten van ijzer,Fonderie de fonte,Eisengießereien,Casting of iron
4,24.52,Gieten van staal,Fonderie d’acier,Stahlgießereien,Casting of steel
5,24.520,Gieten van staal,Fonderie d’acier,Stahlgießereien,Casting of steel
4,24.53,Gieten van lichte metalen,Fonderie de métaux légers,Leichtmetallgießereien,Casting of light metals
5,24.530,Gieten van lichte metalen,Fonderie de métaux légers,Leichtmetallgießereien,Casting of light metals
4,24.54,Gieten van andere non-ferrometalen,Fonderie d’autres métaux non ferreux,Buntmetallgießereien,Casting of other non-ferrous metals
5,24.540,Gieten van andere non-ferrometalen,Fonderie d’autres métaux non ferreux,Buntmetallgießereien,Casting of other non-ferrous metals
2,25,"Vervaardiging van producten van metaal, exclusief machines en apparatuur","Fabrication de produits métalliques, à l’exception des machines et des équipements",Herstellung von Metallerzeugnissen,"Manufacture of fabricated metal products, except machinery and equipment"
3,25.1,Vervaardiging van metalen constructiewerken,Fabrication d’éléments en métal pour la construction,Stahl- und Leichtmetallbau,Manufacture of structural metal products
4,25.11,Vervaardiging van metalen constructiewerken en delen daarvan,Fabrication de structures métalliques et de parties de structures,Herstellung von Metallkonstruktionen,Manufacture of metal structures and parts of structures
5,25.110,Vervaardiging van metalen constructiewerken en delen daarvan,Fabrication de structures métalliques et de parties de structures,Herstellung von Metallkonstruktionen,Manufacture of metal structures and parts of structures
4,25.12,Vervaardiging van metalen deuren en vensters,Fabrication de portes et fenêtres en métal,Herstellung von Ausbauelementen aus Metall,Manufacture of doors and windows of metal
5,25.120,Vervaardiging van metalen deuren en vensters,Fabrication de portes et fenêtres en métal,Herstellung von Ausbauelementen aus Metall,Manufacture of doors and windows of metal
3,25.2,"Vervaardiging van tanks, reservoirs en bergingsmiddelen, van metaal","Fabrication de réservoirs, citernes et conteneurs métalliques",Herstellung von Metalltanks und -behältern,"Manufacture of tanks, reservoirs and containers of metal"
4,25.21,"Vervaardiging van radiatoren, stoomketels en ketels voor centrale verwarming","Fabrication de radiateurs, de générateurs de vapeur et de chaudières pour le chauffage central","Herstellung von Heizkörpern, Dampfkesseln und Kesseln zum Erzeugen von überhitztem Wasser","Manufacture of central heating radiators, steam generators and boilers"
5,25.210,"Vervaardiging van radiatoren, stoomketels en ketels voor centrale verwarming","Fabrication de radiateurs, de générateurs de vapeur et de chaudières pour le chauffage central","Herstellung von Heizkörpern, Dampfkesseln und Kesseln zum Erzeugen von überhitztem Wasser","Manufacture of central heating radiators, steam generators and boilers"
